job_size,business_segment,job_segment,want_short,context_when,want_result,so_that,importance,satisfaction,gap,fitbase_value,previous_solution_problems,drivers,barriers,lpr_quote,interview_label,business_profile,lpr_profile,notes,id
Big,S3,J4,"Управлять сетью фитнес-студий с эффективным контролем клиентов, расписания и финансов, чтобы бизнес был прибыльным и устойчивым","Когда управляю несколькими студиями с разными помещениями, тренерами и клиентами, сталкиваюсь с необходимостью контроля и автоматизации","Хочу иметь систему, которая объединит все процессы: расписание, учет клиентов, оплату, зарплаты тренеров, аналитику","Чтобы бизнес был устойчивым, прибыльным, с минимальными рисками, и я мог принимать обоснованные решения без хаоса","Очень важно, т.к. от этого зависит доход, стабильность бизнеса и возможность масштабирования",,,"Интегрированное решение, которое закрывает все задачи в одном пакете, упрощает управление и автоматизирует процессы","Excel и другие решения были разрозненными, усложняли работу, не давали полной картины, много ручной работы и ошибок","Удобный интерфейс, мобильное приложение, пакетность функций, возможность масштабирования","Ограничения мобильного приложения, необходимость доработок, некоторые функции не автоматизированы","""Самая главная боль была, я хотел, чтобы у меня все было в одном месте... Excel, плюс еще где-то данные в заметках..."" 15:43","Дмитрий — сеть, JTBD-вариант",,,,J001
Middle,S3,J4,"Обеспечить гибкое и удобное расписание тренировок, которое тренеры могут менять ежедневно без нагрузки на администратора","Когда тренеры сами формируют группы и меняют время тренировок ежедневно, а администратор занят другими задачами","Хочу, чтобы тренеры могли легко создавать и менять расписание через удобное приложение без необходимости заходить в браузер","Чтобы тренеры были автономны, расписание всегда актуально, а я мог контролировать загрузку залов и эффективность работы","Крайне важно, т.к. расписание напрямую влияет на доход и удовлетворенность клиентов и тренеров",,,Мобильное приложение для тренеров с удобным функционалом создания групп и расписания,"В FitBase тренерам неудобно пользоваться приложением, приходится заходить в браузер, создавать группы вручную","Переработка мобильного приложения, улучшение UX, автоматизация создания групп","""Если они вот пользовались U-Cleanse приложением, им было все удобно... тут вдруг я им говорю, вы теперь должны заходить в браузер"" 27:18",,"Дмитрий — сеть, JTBD-вариант",,,,J002
Middle,S3,J4,Автоматизировать расчет и учет зарплат тренеров по факту оплаты клиентов,"Когда тренеры получают зарплату по оплатам клиентов, а я веду учет вручную, сверяю данные с эквайрингом и отчетами","Хочу, чтобы система автоматически считала зарплаты тренеров, учитывая оплату клиентов и корректно отражала возвраты","Чтобы экономить время, избежать ошибок, иметь прозрачный и точный учет финансов, не тратить время на ручные сверки","Очень важно, т.к. зарплата тренеров — значимая статья расходов и влияет на мотивацию и финансовую дисциплину",,,Возможность автоматического расчета зарплат с учетом оплат и возвратов,"В FitBase нет автоматического расчета по факту оплаты, приходится считать вручную, сложно учитывать возвраты и корректировки","Необходимость доработки функционала расчета зарплат, учета возвратов и оплаты задним числом","""Мне приходится это делать вручную... в FitBase невозможно настроить так, чтобы считалось автоматически"" 35:44",,"Дмитрий — сеть, JTBD-вариант",,,,J003
Middle,S3,J4,Внедрить услугу свободного посещения с автоматизированным доступом без персонала,"Когда в студиях есть свободные часы с низкой загрузкой, хочу увеличить доход, не нанимая администраторов","Хочу, чтобы клиенты могли самостоятельно заходить в зал по коду после оплаты, без участия персонала","Чтобы увеличить доход, закрыть аренду, снизить зависимость от тренеров, повысить стабильность бизнеса","Важно, т.к. это дополнительный источник дохода и снижает риски, связанные с уходом тренеров и колебаниями загрузки",,,"Интеграция с простым замком, дешевое решение для доступа, автоматизация контроля посещений","На рынке нет готовых решений с полной интеграцией CRM и системой доступа, приходится использовать ""коленочные"" решения","Необходимость доработки интеграции с замками, автоматизации доступа","""Нашли замок за 13 тысяч рублей, сделали интеграцию с фитбейсом, но пока коленочная интеграция"" 49:50",,"Дмитрий — сеть, JTBD-вариант",,,,J004
Small,S3,J4,Упростить и ускорить работу с мобильным приложением для тренеров и руководителей,"Когда часто приходится работать с телефона, а веб-версия неудобна, возникают проблемы с интерфейсом и функционалом","Хочу иметь удобное мобильное приложение, где можно быстро делать продажи, менять расписание и вести учет клиентов","Чтобы работать эффективно в любом месте, экономить время и не зависеть от компьютера","Важно, т.к. мобильность повышает оперативность и удобство работы",,,"Переработка мобильного приложения, улучшение UX, адаптация под мобильные устройства","В текущем приложении есть баги, неудобства, приходится переключаться на веб-версию","Необходимость доработки мобильного приложения, устранение багов","""Иногда окно не уезжает дальше, не могу отменить, приходится идти к компьютеру"" 1:19:18",,"Дмитрий — сеть, JTBD-вариант",,,,J005
Small,S3,J4,Получать точную и понятную аналитику по клиентам и выручке через Telegram-бота с возможностью кастомизации,"Когда хочу быстро получать данные по выручке, клиентам и тренерам, без захода в CRM и сложных отчетов","Хочу, чтобы бот показывал нужную аналитику по моему выбору: выручка, количество клиентов, новые клиенты и т.п.","Чтобы оперативно контролировать бизнес, принимать решения и не тратить время на поиск информации","Средней важности, т.к. упрощает контроль и экономит время",,,"Возможность кастомизации бота, получение актуальной аналитики в удобном формате","Текущий бот не кастомизируется, показывает некорректные данные, мешает спамом и уведомлениями","Необходимость доработки бота, добавления кастомизации и фильтров","""Было бы классно, если бы клиенты могли настраивать бота сами, выбирать, какую аналитику видеть"" 1:10:04",,"Дмитрий — сеть, JTBD-вариант",,,,J006
Small,S3,J4,Улучшить систему геймификации для мотивации клиентов,"Когда хочу стимулировать лояльных клиентов, чтобы они прогрессировали и дольше оставались с нами","Хочу понятную и прозрачную систему начисления баллов и лиг, которую можно контролировать и настраивать","Чтобы повысить LTV клиентов, вовлеченность и сарафанное радио","Средней важности, т.к. влияет на удержание и мотивацию клиентов",,,"Возможность настройки алгоритмов геймификации, прозрачность начисления баллов","Текущая геймификация непрозрачна, непонятна логика начисления, клиенты и я не можем ее контролировать","Необходимость переработки геймификации, добавления понятных правил и контроля","""Система живет сама по себе, я не понимаю логику начисления баллов"" 57:13",,"Дмитрий — сеть, JTBD-вариант",,,,J007
Small,S3,J4,"Избавиться от раздражающих уведомлений и ботов в системе, которые мешают работе","Когда получаю много уведомлений от бота техподдержки, которые мешают видеть реальные сообщения","Хочу убрать или минимизировать спам-уведомления, чтобы не путаться в сообщениях и не раздражаться","Чтобы работать спокойно, не отвлекаться и не тратить время на фильтрацию сообщений","Средней важности, т.к. влияет на комфорт работы",,,"Улучшение UX, уменьшение количества ненужных уведомлений","Бот техподдержки постоянно пишет, мешает видеть реальные сообщения, раздражает",Необходимость изменения логики уведомлений и работы бота,"""У меня миллиард сообщений от бота, это раздражает"" 1:03:00",,"Дмитрий — сеть, JTBD-вариант",,,,J008
Big,S4,J4,"Построить устойчивую, масштабируемую и прибыльную франчайзинговую фитнес-компанию Stretch House","Когда я управляю бизнесом с 65 студиями и 26 партнёрами, в условиях рынка с высокой конкуренцией и необходимостью баланса между ростом и качеством","Хочу создать компанию, которая будет прибыльной, антихрупкой, с партнёрами и сотрудниками, которые кайфуют от работы","Чтобы бизнес пережил меня, занимал лидирующие позиции в городах, приносил стабильный доход и имел сильный бренд",Важно (постоянно),,,"Долгосрочная устойчивость, лидерство на рынке, счастье партнеров и сотрудников",Недостаток управленческих навыков для одновременного ведения филиальной сети и франчайзинга; необходимость выбора стратегии; риск потери качества при масштабировании,,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J009
Middle,S4,J4,Управлять операционной деятельностью управляющей компании и поддерживать контроль над сетью студий,"Когда сеть растёт, и нужно координировать работу 24 сотрудников управляющей компании и около 300 сотрудников сети","Хочу эффективно контролировать процессы, обеспечивать качество и поддерживать партнёров","Чтобы сеть работала с высоким уровнем сервиса, без закрытий филиалов, с ростом прибыли",Важно (ежедневно),,,"Контроль качества, стабильность работы, удовлетворённость клиентов и партнёров","Высокая вовлечённость, сложность делегирования, необходимость постоянного контроля и коммуникации",,,,"Стас — Stretch House (франшиза, 65 студий)","Тип бизнеса: Франчайзинговая фитнес-сеть Stretch House: 65 студий, 26 партнёров. Управляющая компания ~24 сотрудника, общая численность сети ~300 человек. Параллельно филиальная сеть и франчайзинг. | Особенности бизнеса: Франчайзинговая модель + филиальная сеть параллельно. Партнёры разного уровня. Стандартизация тренировок через чек-листы и проверку записей экспертами. Рост через продажу франшиз без маркетингового бюджета (личные связи).","Стас — основатель/собственник Stretch House. Управляет ростом сети, отбором партнёров, контролем качества.",,J010
