block,job_size,canonical_name,frequency,business_segments,job_segments,sources_count,so_that,context_when,fitbase_value,barriers,drivers,previous_solution_problems,lpr_quote,sources,all_variants,cluster_id,concept_tag
Финансы и учёт,Small,Создавать и управлять абонементами с разной номенклатурой,7,"S1, S2, S5","J1, J2, J5",7,"Чтобы увеличить продажи, снизить количество пропущенных продлений и упростить работу администраторов","Когда продажи абонементов проходят через администраторов вручную, нет автоматических напоминаний о продлении","Автоматические рассылки, интеграция с платежными системами, мобильное приложение для покупки абонементов","""Если клиент болел, он может принести справку, мы ее подгружаем в карточку.""","Автоматические рассылки (WhatsApp, Telegram, push-уведомления), интеграция с платежными системами","В 1С Фитнес была сложная и раздутная номенклатура, непонятно как учитывать разные направления","«Публичная оферта, правила посещения, галочка — снимает ответственность с владельцев.» (29:56) || ""Администратор видит... и также видит систему, которая будет при входе с QR-кодом"" (Мария) || ""У нас абонемент не привязан к направлению... Как тогда в этом случае?""","Speaker A — зал без персонала (расширенный, 8 джобов); АГРЕГИРОВАНО (без привязки к конкретному интервью); Детская студия — дзюдо/тхэквондо (1С); Каталина Алексеева — пилатес/реабилитация, Гатчина; Клуб — общий switch-кейс; Оксана — две детских студии (AppEvent); Танцевальная студия — Mobi-конкурент","Автоматизировать продажи абонементов и продлений | Видеть остатки по абонементам в моменте | Загружать и вести абонементы | Обеспечить юридическую защиту и ответственность при продаже абонементов | Создавать и управлять абонементами с разным количеством занятий и сроком действия | Управлять абонементами и услугами клиентов | Управлять детской студией с уникальной номенклатурой абонементов через единое окно, где работают мессенджеры, мобайл и автоматизация — без зависимости от 1С и без потери ноу-хау в учёте.",Фин-06,абонементы_управление
Финансы и учёт,Big,Контролировать выручку и продажи в реальном времени,4,"S1, S3","J1, J2, J4",4,"Чтобы бизнес был устойчивым, прибыльным, с минимальными рисками, и я мог принимать обоснованные решения без хаоса","Когда управляю несколькими студиями с разными помещениями, тренерами и клиентами, сталкиваюсь с необходимостью контроля и автоматизации","Интегрированное решение, которое закрывает все задачи в одном пакете, упрощает управление и автоматизирует процессы","Ограничения мобильного приложения, необходимость доработок, некоторые функции не автоматизированы","Удобный интерфейс, мобильное приложение, пакетность функций, возможность масштабирования","Excel и другие решения были разрозненными, усложняли работу, не давали полной картины, много ручной работы и ошибок","""Самая главная боль была, я хотел, чтобы у меня все было в одном месте... Excel, плюс еще где-то данные в заметках..."" 15:43","АГРЕГИРОВАНО (без привязки к конкретному интервью); Анастасия (Пермь) — выход из франшизы (1С+Mobi); Дмитрий — сеть, JTBD-вариант; Каталина Алексеева — пилатес/реабилитация, Гатчина","Выйти из франшизы с минимальным операционным риском и перенастроить весь стек учёта, мобильного приложения и коммуникаций на свою юр.лицо. | Контролировать продажи и выручку | Контролировать реальную прибыль (Реализация vs Касса) | Управлять сетью фитнес-студий с эффективным контролем клиентов, расписания и финансов, чтобы бизнес был прибыльным и устойчивым",Фин-01,выручка_контроль
Финансы и учёт,Small,Электронные договоры и оферта (юридически значимо),4,"S1, S2","J1, J2, J3",4,"Упростить юридическую сторону, избежать бумажной волокиты.",Клиент покупает абонемент или пользуется услугами.,Автоматизация договоров.,,Упрощение документооборота.,Бумажная работа или отсутствие процесса.,—,"Анастасия (Пермь) — выход из франшизы (1С+Mobi); Евгений — клуб корпоративный (1С КОРП); Каталина Алексеева — пилатес/реабилитация, Гатчина; Ярослава — открытие студии пилатеса","Вести договоры с клиентами через оферту в приложении | Подписание договоров по SMS (юридически значимо) — есть, важно для Анастасии | Подписание договоров по SMS — есть, но смс отдельно платятся | Подписывать договоры через СМС (уйти от бумаги)",Фин-04,налоги_оферта
Финансы и учёт,Middle,Снизить TCO стека и избавиться от доплат за каждую фичу,4,"S1, S2","J1, J2",2,"Снизить ежемесячные косты, упростить операционку, перестать платить «за всё подряд по разным счетам»","«У нас много доплат. Отдельно мобильное приложение, отдельно SMS, которые сумасшедшие деньги стоят»",,Cloud Payments 2.7% vs Сбер 2% = +0.7% на онлайн-оплатах; Юкасса будет интеграция «в апреле»,скидка 10% после демо в течение 3 дней; возможность апгрейда тарифа с пересчётом доплаты,,,Анастасия (Пермь) — выход из франшизы (1С+Mobi); Евгений — клуб корпоративный (1С КОРП),"Запись через виджет на сайте — есть, без доплаты | Понять реальный TCO с учётом всех доплат | Снизить TCO стека и упростить интерфейс для админов 20-25 лет, сохранив весь действующий функционал (СКУД, мобайл, эквайринг). | Снизить совокупный TCO стека 1С+Mobi+PocketKey+Юкасса",Фин-14,tco_доплат
Финансы и учёт,Small,Управлять и контролировать администраторов на ресепшене,3,S1,J1,3,Чтобы снизить нагрузку на администраторов и повысить вовлеченность клиентов,"Когда нужно напомнить о занятиях, окончании абонемента, акциях",Автоматические триггерные рассылки,"""Поздравления с днем рождения, напоминания о занятиях, акциях.""","Более 30 триггерных событий, бесплатные рассылки",Ручные звонки и сообщения,,АГРЕГИРОВАНО (без привязки к конкретному интервью); Анастасия (Пермь) — выход из франшизы (1С+Mobi); Танцевальная студия — Mobi-конкурент,"FitBase Click (планшет на ресепшене) — упомянуто Кристиной, Анастасия задаёт вопрос про интеграцию с домофоном, но «50-60к доп.расходов» останавливает | Настраивать уведомления и триггеры | Отправлять клиентам уведомления и напоминания",Фин-07,адмы
Финансы и учёт,Small,Управлять подписками и рекуррентными списаниями,3,"S1, S5","J1, J3",3,Чтобы обеспечить стабильный денежный поток и удобство для клиентов,"Когда открылся в технологическом режиме и нужно быстро доработать мелочи (жара в зале, манжеты тренажёров)","Автоматическое списание, информирование клиентов",Недопонимание клиентами подписной модели,"Информирование клиентов, возвраты при отказе","Клиенты иногда не понимают подписную модель, возникают вопросы и недовольство","«Прилетала обратная связь, что душно — надо кондиционеры. Клиент говорит, у меня девушка пыталась сделать упражнения, манжеты неудобные — будем докупать.» (13:09) || «С этим было тоже. У людей возникает часто в связи с этим вопросы... Но с ними мы вопрос улаживаем.» (13:29)","Speaker A — зал без персонала (расширенный, 8 джобов); Алексей Кочкин — зал без персонала (Екатеринбург, открытие); Анастасия (Пермь) — выход из франшизы (1С+Mobi)",BNPL / рекурренты — пока не нужно | Собирать обратную связь первых клиентов о комфорте | Управлять подписками и оплатами клиентов,Фин-09,подписки_рекурренты
Финансы и учёт,Small,"Управлять акциями, скидками и промокодами",2,S6,J4,2,Чтобы увеличить продажи,Когда клиенты хотят подарить абонемент,Сертификаты в CRM,Нет,Доп. продажи,Нет инструмента,"«В моём счёте я буду видеть все транзакции, которые когда-либо были» (12:30)",АГРЕГИРОВАНО (без привязки к конкретному интервью); Денис — падл-клуб (старт),"Вести учёт продаж и оплат (членства, подарочные сертификаты) | Выдавать сертификаты",Фин-13,акции_скидки
Финансы и учёт,Middle,Считать зарплату тренеров без Excel и ошибок,1,S3,J4,1,"Чтобы экономить время, избежать ошибок, иметь прозрачный и точный учет финансов, не тратить время на ручные сверки","Когда тренеры получают зарплату по оплатам клиентов, а я веду учет вручную, сверяю данные с эквайрингом и отчетами",Возможность автоматического расчета зарплат с учетом оплат и возвратов,"""Мне приходится это делать вручную... в FitBase невозможно настроить так, чтобы считалось автоматически"" 35:44","Необходимость доработки функционала расчета зарплат, учета возвратов и оплаты задним числом","В FitBase нет автоматического расчета по факту оплаты, приходится считать вручную, сложно учитывать возвраты и корректировки",,"Дмитрий — сеть, JTBD-вариант",Автоматизировать расчет и учет зарплат тренеров по факту оплаты клиентов,Фин-02,зарплата_тренеров
Финансы и учёт,Small,Лидогенерация и воронка продаж (заявки → клиент),1,S3,J4,1,Чтобы выделяться при покупке лида и создавать эмоциональный отклик,Когда визуал = одна из трёх точек привлечения (цена/доступность/визуал). Сайт Urban Fit оценен интервьюером как лучший в индустрии,Брендирование МПК через Fitbase,Стоимость production,—,—,«Идентика важна. Но в первую очередь люди выбирают исходя из стоимости и доступности. На этом важно первично делать акцент.» (43:20),"Urban Fit — сеть рекуррентов (Жан + Евгений, 12 клубов СПб)",Использовать сильный визуал как часть треугольника привлечения,Фин-03,лиды_воронка
Финансы и учёт,Small,BI-аналитика и дашборды по бизнесу,1,S1,J3,1,Принимать обоснованные управленческие решения.,Нужно понимать эффективность работы студии и тренеров.,Отчеты и аналитика.,,Прозрачность данных.,Нет аналитики.,—,Ярослава — открытие студии пилатеса,"Вести аналитику по выручке, посещаемости и работе тренеров",Фин-05,аналитика_бизнеса
Финансы и учёт,Small,Отслеживать оплаты и задолженности клиентов,1,S1,J1,1,Чтобы поддерживать финансовую дисциплину,Когда клиент не оплатил вовремя,"Отчеты по задолженностям, фильтры","""Можно поставить фильтр 'непродленные' и работать с ними.""",Отчеты и фильтры в системе,"Ручной учет, потеря платежей",,Танцевальная студия — Mobi-конкурент,Управлять оплатами и задолженностями клиентов,Фин-08,оплаты_задолженност
Финансы и учёт,Middle,Управлять персональными тренировками и записью,1,S5,J1,1,Чтобы упростить финансовые расчеты и контроль за тренировками,"Когда я нанимаю тренеров и хочу, чтобы их работа и оплата были прозрачны и автоматизированы","Полная интеграция персональных тренировок в мобильное приложение, автоматический учет тренировок","Нет явных барьеров, система устраивает","Удобство работы тренеров в приложении, автоматизация учета тренировок","Ранее не упоминалось, что были проблемы с этим, система работает удобно","«Персональные тренировки тоже покупаются через мобильное приложение... Тренер отмечает тренировку, и система считает, что она прошла.» (8:40)","Speaker A — зал без персонала (расширенный, 8 джобов)",Управлять взаимоотношениями с персональными тренерами через мобильное приложение,Фин-10,персональные_занят
Финансы и учёт,Small,Объединить всё в одном окне / единой системе,1,,,1,Чтобы ничего не терялось,Когда клиенты пишут в разные каналы,"Интеграция WhatsApp, Telegram",Ограничения Telegram,Централизация,Разрозненные чаты,,АГРЕГИРОВАНО (без привязки к конкретному интервью),Вести переписку с клиентами в одном окне,Фин-11,одно_окно
